Artikelnummer;Artikelname;Länge;Breite;Höhe;Artikelgewicht;Farbe
36940-730009;Schraubenkompressor Set - APS 7.5 X IVR / 300 / 9;0;0;0;99;0158FF
36955;Schraubenkompressor APS Basic 5.5 Combi Dry;0;0;0;193;0159FF
36905;Schraubenkompressor APS 5.5 Basic Combi;0;0;0;159;0160FF
369007;Schraubenkompressor APS 7.5 Combi Dry;0;0;0;310;0161FF
36807;Schraubenkompressor APS 7.5 Basic;0;0;0;110;0162FF
02-0080;RETTER Zwei-Säulen-Hebebühne RTH-2042 ECO 4.2T Profi Arm;290;56;75;630;0163FF
02-0150;"RETTER RT9033 Schlagschrauber 1/2"" max. Löse-Drehmoment 1200Nm Hochleistung Schlagschrauber";0;0;0;1,2;0164FF
02-0156;RETTER RTS-1012 Mobiler Sandstrahler Sandstrahlen 68L;0;0;0;30;0165FF
02-0157;RETTER RTS-1013 Mobiler Sandstrahler 5 Gallonen ca. 17L;0;0;0;0;0166FF
02-0159;Sandstrahler Standgeräte - Düsen 4/5/6/7mm 19WT0313;0;0;0;99;0167FF
02-0160;RETTER RTS-1011 Sandstrahler Tischgerät - Düsen 4/5/6/7mm;0;0;0;79;0168FF
02-0089;R3 Werkzeugwagen Black Panter Edition;0;0;0;40;0169FF
02-0148;RETTER RTX-2000 Werkstatt Set 35 Teile Schranksystem mit Massiv Holz Platte LED Beleuchtung  - 6026 x 2865 x 1956 x 565 mm;0;0;0;500;0170FF
02-0149;RETTER RT9032 Schaumpistole Reinigungspistole;0;0;0;0;0171FF
02-0099;RETTER RTE022 Druckluft Reinigungspistole Auto Innenreiniger Waschpistole;0;0;0;1;0172FF
02-0168;Wechselstrom Kombiinstrument - Kältemittel R134A R410A R22;0;0;0;5;0173FF
01-0051;RETTER RTK3000 Wagenheber 3.0 t niedriges Profil Ultraflach große Hubhöhe;55;30;20;28;0174FF
02-0036;Werkzeugwagen R5 mit Werkzeug 270-tlg. | 7 Schubladen - RETTER Werkstattwagen;76;46;96;68;0175FF
02-0096;"RETTER RTD1155  – 32-tlg. Bit-Einsatz-Set mit 1/2"" Schlagbits, gehärtet, Torx";39;8;20;3;0176FF
02-0155;RETTER RT5100 Profi Kompressor  100 L / 10 Bar;0;0;0;115;0177FF
01-0100;Werkzeugkasten 86 tlg. Werkzeugset 5 Fächer Stahl;0;0;0;1;0178FF
01-0135-12kW;RETTER 12,0 kW Stromaggregat - Silent KDF16000Q-3D;0;0;0;265;0179FF
02-0162;RTA 2022 Nockenwellen Werkzeug Set VW T5 Touareg TDI AXE BAC BLK;0;0;0;0;0180FF
02-0163;RTA 2154 Motor Einstell Werkzeug Set Nockenwellen Arretierung VW T4 Crafter LT Zahnriemen;0;0;0;1;0181FF
02-0164;RTD 2003 Lichtmaschine Arretier-Werkzeug 24-tlg. Freilauf-Riemenscheibe Generator Abzieher;0;0;0;0;0182FF
02-0166;RETTER Auto Reinigungspistole LifeUp (Saug/Reiniger);0;0;0;5;0183FF
02-0167;"Milwaukee M18 FUEL Akku-Schlagschrauber 1/2"" FMTIW2F12-502X";0;0;0;15;0184FF
KD1184;Bodenverdichter 5,5KM 92KG KD1184;0;0;0;50;0185FF
KD1185;Bodenverdichter 5,5KM 100KG KD1185;0;0;0;100;0186FF
KD11910;Verdichter - Jumper KD11910;0;0;0;50;0187FF
KD11920;Säge für Aspalt und Beton KD11920;0;0;0;80;0188FF
02-0191;RETTER RTJ4003 JN501 30 Liter Wasserfilter/Staubsauger;0;0;0;20;0189FF
KD401;Ölkompressor 50L Kompressor 8bar 206l/min KD401;0;0;0;26;0190FF
13-00-18;REDATS W-200 halbautomatische Auswuchtmaschine;125;90;90;190;0191FF
KD1472;Ölkompressor 100L 230V + Abscheider KD1472;0;0;0;40;0192FF
KD399;Hydraulischer Wagenheber bis 3.0 t - 135-450mm FARBE|ROT;0;0;0;10;0193FF
15.01.2012;Ein-Säulen-Hebebühne 2.5 t Ultraflach L-120F;0;0;0;640;0194FF
02-0171;RETTER RTSH-2300XL Mobile Scherenhebebühne Vollverzinkt Inkl. Mobil-Kit 3.0 t mit Umlenkhilfe vollelektrisch 230V / 400V;0;0;0;500;0195FF
30.01.1935;ZWEI-SÄULEN BÜHNE AUTOMOBILHEB 4T L-220 AUTOMATISCH;0;0;0;630;0196FF
15-00-87;ZWEISÄULEN-HEBEBÜHNE 4T L-250 HALBAUTOMATISCH;0;0;0;630;0197FF
02-0176;Motorrad Wuchtwelle für Wuchtmaschine 16mm;0;0;0;5;0198FF
02-0175;Motorradadapter für Montiermaschine Reifen Set 4 Stück;0;0;0;5;0199FF
02-0172;ATF Spülgerät Getriebeöl Automatik Getriebeöl Ölabsauggerät Öl Wechsel 12/ 230 V;0;0;0;10;0200FF
02-0179;RETTER RTA2196 Motor Einstellwerkzeug Steuerkette Nockenwelle Werkzeug für BMW N47 N57;0;0;0;5;0201FF
02-0180;RETTER RTA2015 Kurbelwellen Nockenwellen Arretierung für Citroen C4 Peugeot 207 308 Mini One;0;0;0;5;0202FF
02-0181;RETTER RT9022 PRO Federspanner Mc Pherson Federbeinsystem Tuning Tieferlegung KFZ Werkzeug;0;0;0;10;0203FF
02-0049-01;Getriebeheber Motorheber Motorständer Getriebeständer 500 kg;0;0;0;5;0204FF
02-0147-13-00-18;Reifendienst Set  RETTER RT-706D Pro &  AUSWUCHTMASCHINE  W-200;0;0;0;120;0205FF
02-0184;Druckluft Kompressor 200L ölgeschmiert - 3 Zylinder 10PS | RETTER RT4120;140;58;93;110;0206FF
02-0201;4 Säulen Hebebühne Parkbühne Vier-Säulen-Hebebühne – Elektrohydraulische 4-Säulen-Hebebühne mit automatischer Sicherheitsentriegelung 3700kg inkl. Mobil-Kit Retter RT-P3700;520;75;70;600;0207FF
02-0186;Werkbank mit Werkzeugwand 1510 mm;0;0;0;40;0208FF
KD1729;Bohrmaschine mit Schlag18 Volt - KD1729;0;0;0;8;0209FF
02-0198;"Sechskant Bit-Einsatz-Satz | 30- tlg. | 12,5 mm (1/2"") | CV-Stahl RETTER RTD1154";0;0;0;8;0210FF
02-0197;"Innenvielzahn Schlagbit-Satz RTD0540 | 26-tlg. | 1/2"" Aufnahme | S2-Stahl gehärtet";39;8;20;4;0211FF
15-0083;Werkstatt Scherenhebebühne 3.0 t L-550 inkl. Mobile Kit;0;0;0;550;0212FF
02-0196;Profi DRUCKLUFT INDUSTRIE SCHLAUCHAUFROLLER SCHLAUCHTROMMEL 12 BAR MIT 180° WANDHALTER 25 M RETTER RTZ9258;0;0;0;10;0213FF
02-0047-02-0203;Reifenwuchtmaschine - Auto Messung RETTER WB65b & Reifenmontiermaschine - pneumatisch Kippsäule RETTER 706D Red;0;0;0;80;0214FF
02-0202-02-0200;Reifendienst Set Wuchtmaschine - auto Messung JWB610 &  Reifenmontiermaschine - pneumatisch Kippsäule;0;0;0;180;0215FF
01-0077;RETTER ATV - Miniquad Elektro 36V/1000W ROT;0;0;0;0;0216FF
02-0232;Profi hydraulische Werkstattpresse 10 Tonnen - RTK9016;0;0;0;139;0217FF
02-0233;Pocket DeLux und X-Lux Wireless LED Werkstattlampen & Induktionsladepad;0;0;0;0;0218FF
01-0025;RETTER Vollautomatisches Klimaservicegerät - RT-9006 Pro;0;0;0;60;0219FF
02-0080- 01-0112-02-0047;Reifendienst Set Hebebühne 4.000 kg & Reifenmontagemaschine & Reifenwuchtmaschine;290;120;95;850;0220FF
02-0229;ERE 10 Pro Minibagger mit Schwenkarm;0;0;0;1100;0221FF
02-0228;Werkzeugwagen R10 mit Werkzeug 394-tlg. | 8 Schubladen - RETTER Werkstattwagen Black Edition;78;47;98;81,5;0222FF
02-0292;"LKW - Reifenmontagemaschine JTC995 - 14"" - 42"" mit Adapter Spannbereich Außen 14"" bis 56""";0;0;0;600;0223FF
02-0236;Mobiltank Dieselkraftstoff (ADR) Automatik Pumpe 12V 40l/min;0;0;0;52;0224FF
02-0248;RT-706B Pro Reifenmontiermaschine 28 Zoll - Robustem Montagearm 380V - 2 Stufig;125;95;95;195;0225FF
02-0247-4-4;Rangierwagenheber Aluminium, 2 Tonnen Tragkraft, Hubhöhe von 90-358 mm, Doppelhub-Zylinder;0;0;0;0;0226FF
02-0253;RETTER Werkstatteinrichtung Set 13 Teile Edition Schranksystem RTX-0600;259,2;45,8;183;270;0227FF
02-0254;Retter Rangierwagenheber 5.000 kg;0;0;0;82;0228FF
02-0255;RETTER Rangierwagenheber 3.000 kg - 143 bis 650 mm;0;0;0;25;0229FF
02-0279;Torx Vielzahn Sechkant  Combo Paket Bit Satz 88 tlg.;0;0;0;12;0230FF
02-0190;RETTER 6 tlg. Vielzahn Steckschlüssel 24-36mm mit 1/2 Zoll Antrieb;0;0;0;1;0231FF
02-0221;12 tlg. Satz - Ankörner, Meißel, Splint- und Durchtreiber;0;0;0;1,2;0232FF
01-0102;Doppel Scherenhebebühne 3.0 Tonnen MIT Druckluft Entriegelung Retter RT-F3000;187;157;58;920;0233FF
02-0249;RETTER Zwei-Säulen-Hebebühne RT-C6000ES;290;65;80;1075;0234FF
02-0280;Werkstattwagen Professionell - Werkzeugwagen Trolly;184;30;58;120;0235FF
02-0265;RETTER 7.5 kW Stromaggregat Inkl. Spannungsrichter ( AVR ) 4-Takt-Motor JP 8500-3;0;0;0;50;0236FF
02-0268;RETTER RS5 Werkstattwagen Workstation Kompakt Werkbank mit Massivholzplatte;108;47;92;50;0237FF
02-0247;Wagenheber Alu - besonders leicht mit integrierter Schraubenablage;0;0;0;12;0238FF
02-0278;7.5 kW Stromaggregat 4-Takt-Motor JP 8500-1;0;0;0;50;0239FF
01-0075;ATV - Miniquad  49 cm / 2 Takt / 3 Farben;0;0;0;0;0240FF
STARK-CT10;STARK Mini Bagger Diesel 9.5 PS;120;60;200;920;0241FF
03-0019;Hydraulischer Erdbohrer 200mm;0;0;0;40;0242FF
